MSSubClass,LotArea,Neighborhood,BldgType,FirstFlrSF,SecondFlrSF,GrLivArea,TotRmsAbvGrd,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch
One_Story_1946_and_Newer_All_Styles,31770,North_Ames,OneFam,1656,0,1656,7,210,62,0,0,0
One_Story_1946_and_Newer_All_Styles,11622,North_Ames,OneFam,896,0,896,5,140,0,0,0,120
One_Story_1946_and_Newer_All_Styles,14267,North_Ames,OneFam,1329,0,1329,6,393,36,0,0,0
One_Story_1946_and_Newer_All_Styles,11160,North_Ames,OneFam,2110,0,2110,8,0,0,0,0,0
Two_Story_1946_and_Newer,13830,Gilbert,OneFam,928,701,1629,6,212,34,0,0,0
Two_Story_1946_and_Newer,9978,Gilbert,OneFam,926,678,1604,7,360,36,0,0,0
One_Story_PUD_1946_and_Newer,4920,Stone_Brook,TwnhsE,1338,0,1338,6,0,0,170,0,0
One_Story_PUD_1946_and_Newer,5005,Stone_Brook,TwnhsE,1280,0,1280,5,0,82,0,0,144
One_Story_PUD_1946_and_Newer,5389,Stone_Brook,TwnhsE,1616,0,1616,5,237,152,0,0,0
Two_Story_1946_and_Newer,7500,Gilbert,OneFam,1028,776,1804,7,140,60,0,0,0
Two_Story_1946_and_Newer,10000,Gilbert,OneFam,763,892,1655,7,157,84,0,0,0
One_Story_1946_and_Newer_All_Styles,7980,Gilbert,OneFam,1187,0,1187,6,483,21,0,0,0
Two_Story_1946_and_Newer,8402,Gilbert,OneFam,789,676,1465,7,0,75,0,0,0
One_Story_1946_and_Newer_All_Styles,10176,Gilbert,OneFam,1341,0,1341,5,192,0,0,0,0
One_Story_PUD_1946_and_Newer,6820,Stone_Brook,TwnhsE,1502,0,1502,4,0,54,0,0,140
Two_Story_1946_and_Newer,53504,Stone_Brook,OneFam,1690,1589,3279,12,503,36,0,0,210
One_and_Half_Story_Finished_All_Ages,12134,Gilbert,OneFam,1080,672,1752,8,325,12,0,0,0
One_Story_1946_and_Newer_All_Styles,11394,Stone_Brook,OneFam,1856,0,1856,8,113,0,0,0,0
One_Story_1946_and_Newer_All_Styles,19138,Gilbert,OneFam,864,0,864,4,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,13175,Northwest_Ames,OneFam,2073,0,2073,7,349,0,0,0,0
One_Story_1946_and_Newer_All_Styles,11751,Northwest_Ames,OneFam,1844,0,1844,7,0,122,0,0,0
Split_Foyer,10625,Northwest_Ames,OneFam,1173,0,1173,6,0,120,0,0,0
Two_Story_1946_and_Newer,7500,Somerset,OneFam,814,860,1674,7,0,96,0,0,0
One_Story_1946_and_Newer_All_Styles,11241,North_Ames,OneFam,1004,0,1004,5,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,12537,North_Ames,OneFam,1078,0,1078,6,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,8450,North_Ames,OneFam,1056,0,1056,6,0,85,184,0,0
One_Story_1946_and_Newer_All_Styles,8400,North_Ames,OneFam,882,0,882,4,240,0,0,0,0
One_Story_1946_and_Newer_All_Styles,10500,North_Ames,OneFam,864,0,864,5,0,0,0,0,0
One_Story_PUD_1946_and_Newer,5858,North_Ames,TwnhsE,1337,0,1337,5,203,68,0,0,0
Two_Story_PUD_1946_and_Newer,1680,Briardale,Twnhs,483,504,987,5,275,0,0,0,0
Two_Story_PUD_1946_and_Newer,1680,Briardale,Twnhs,525,567,1092,6,0,0,0,0,0
Two_Story_PUD_1946_and_Newer,1680,Briardale,Twnhs,525,567,1092,6,0,0,0,0,0
One_Story_PUD_1946_and_Newer,4043,Northpark_Villa,TwnhsE,1069,0,1069,4,0,55,0,0,165
Two_Story_PUD_1946_and_Newer,2280,Northpark_Villa,Twnhs,855,601,1456,6,173,0,0,0,0
One_Story_PUD_1946_and_Newer,2280,Northpark_Villa,Twnhs,836,0,836,4,0,30,0,0,0
Two_Story_PUD_1946_and_Newer,2280,Northpark_Villa,Twnhs,855,601,1456,7,26,0,0,0,0
Two_Story_1946_and_Newer,12858,Northridge_Heights,OneFam,1627,707,2334,10,144,133,0,0,0
One_Story_1946_and_Newer_All_Styles,11478,Northridge_Heights,OneFam,1704,0,1704,7,0,50,0,0,0
One_Story_1946_and_Newer_All_Styles,10159,Northridge_Heights,OneFam,1940,0,1940,8,168,95,0,0,0
One_Story_1946_and_Newer_All_Styles,12883,Northridge_Heights,OneFam,1544,0,1544,7,0,35,0,0,0
One_Story_1946_and_Newer_All_Styles,12182,Northridge_Heights,OneFam,1541,0,1541,7,0,70,0,0,0
One_Story_1946_and_Newer_All_Styles,11520,Northridge_Heights,OneFam,1698,0,1698,7,192,74,0,0,0
One_Story_1946_and_Newer_All_Styles,14122,Northridge_Heights,OneFam,1822,0,1822,8,0,119,0,0,0
One_Story_1946_and_Newer_All_Styles,10171,Northridge_Heights,OneFam,1535,0,1535,7,0,0,0,0,0
One_Story_1946_and_Newer_All_Styles,12919,Northridge_Heights,OneFam,2364,0,2364,11,0,67,0,0,0
One_Story_PUD_1946_and_Newer,6371,Northridge_Heights,TwnhsE,1358,0,1358,6,192,35,0,0,0
One_Story_1946_and_Newer_All_Styles,14300,Northridge_Heights,OneFam,2696,0,2696,10,220,150,0,0,0
Two_Story_1946_and_Newer,13650,Northridge_Heights,OneFam,1687,563,2250,7,238,130,0,0,0
One_Story_PUD_1946_and_Newer,7658,Northridge_Heights,TwnhsE,1752,0,1752,6,196,82,0,0,0
One_Story_PUD_1946_and_Newer,7132,Northridge_Heights,TwnhsE,1370,0,1370,6,120,49,0,0,0
Two_Story_PUD_1946_and_Newer,2628,Northridge_Heights,Twnhs,764,862,1626,6,0,27,0,0,0
One_Story_1946_and_Newer_All_Styles,18494,Gilbert,OneFam,1324,0,1324,6,36,23,0,0,0
One_Story_PUD_1946_and_Newer,3203,Bloomington_Heights,TwnhsE,1145,0,1145,6,100,116,0,0,0
